city,lat,lng,population
Saidpur,25.58419,83.27593,603304
Sāngli,16.85438,74.56417,601214
Jamnagar,22.47292,70.06673,600943
Fatehgarh Sahib,30.64379,76.34787,600163
Simdega,22.6,84.6,599578
Bansi,27.14595,82.95948,598222
Hasanpur,28.63459,78.31073,595917
Model Town,28.72179,77.18863,595810
Barnala,30.38,75.5,595527
Mahmudabad,27.36651,81.20606,595252
Rajganj,26.64987,88.49944,592494
Etawah,26.81918,79.06531,591152
Narmada,21.87377,73.49527,590297
Dhaurahara,27.9473,81.12188,587955
Kottarakkara,8.92439,76.78758,586434
Porbandar,21.65332,69.77807,585449
Karad,17.31149,74.16246,584085
Khajni,26.55132,83.22996,583987
Jangoan,17.72943,79.16096,582457
Batala,31.77127,75.32171,582108
Ernad,11.18512,76.09604,581512
Nedumangad,8.69503,77.04317,581397
Solan,31.08333,76.83333,580320
Meja,25.16841,82.14536,579879
Gajapati,18.91,84.2,577817
Nilambur,11.30203,76.33816,574059
Jagdishpur,25.1878,86.97945,572253
Sidhauli,27.28795,80.82764,570472
Harda,22.23406,76.96431,570465
Sardhana,29.15415,77.63901,569091
Balanagar,17.48696,78.40062,567996
Narayanpet,16.64331,77.58034,566874
Mohammadabad,25.65386,83.79273,565443
Ambarnath,19.1482,73.24859,565340
Perambalur,11.272,78.8738,565223
Bokāro,23.66934,86.15161,564319
Bilaspur,22.1309,82.19284,564190
Manjhanpur,25.3984,81.33346,563415
Gandhinagar,23.24314,72.65815,562610
Panchkula,30.72883,76.94716,561293
Patiyali,27.71641,79.00801,560320
Sonipat,28.99945,77.01148,559288
Kasganj,27.88122,78.67565,559044
Akbarpur,26.42394,82.57341,557632
Udhampur,33,75.16667,554985
Kodagu,12.41667,75.75,554519
Gunnaur,28.25991,78.49928,554275
Agastheeswaram,8.15572,77.45766,552175
Hathras,27.57717,78.04981,551540
Gyanpur,25.31117,82.38558,550495
Palghar,19.67501,72.81101,550166
Jansath,29.40289,77.91239,549530
Misrikh,27.41688,80.60388,549247
Kolhāpur,16.69563,74.23167,549236
Rasra,25.88348,83.88906,548010
Jakhania,25.72903,83.35724,547964
Jalalpur,26.29719,82.71957,546995
Rajanna Sircilla,18.38629,78.8156,546121
Robertsganj,24.72724,83.39742,544909
Kalaburagi,17.33583,76.83757,543147
Cherthala,9.74071,76.33256,542657
Pilibhit,28.63451,79.78446,542528
Bansdih,25.9137,84.23564,540524
Begusarai,25.46401,86.19946,540009
Nichlaul,27.2546,83.72756,539761
Habra I,22.82933,88.67871,539390
Gola,26.36151,83.36351,537951
Rourkela,22.22496,84.86414,536450
Dispur,26.14679,91.78432,534872
Sirathu,25.65943,81.32592,532233
Burdwan I,23.2914,87.88095,530208
Bilhaur,26.74495,80.04641,530025
Musafirkhana,26.49262,81.63098,529874
Sirmaur,30.75,77.5,529855
Chinsurah Magra,22.96516,88.3851,526823
Kadipur,26.14067,82.41328,523506
Dehra Dūn,30.32443,78.03392,522081
Kothi Mahal,23.17983,75.77532,521649
Alipur,28.79491,77.15768,521424
Una,31.58369,76.19283,521173
Behat,30.21397,77.71545,519420
Chamba,32.57147,76.10229,519080
Khurja,28.20517,77.84531,519063
Mahasi,27.56252,81.4395,518994
Durgapur,23.51583,87.30801,518872
Kapeshera,28.55141,76.9978,518545
Ghanghata,26.5515,83.00158,517622
Ulhasnagar,19.21667,73.15,516584
Siliguri,26.71004,88.42851,515574
Deoband,29.72276,77.67321,514338
Bhogaon,27.23457,79.19923,511413
Nautanwa,27.31896,83.44756,511045
Bilimora,20.76957,72.96134,510879
Siana,28.56996,78.07602,510190
Kiraoli,27.14511,77.73306,506777
Palwal,28.1333,77.3569,506253
Karol Bāgh,28.65136,77.19072,505241
Thakurdwara,29.10259,78.81603,504560
Āsansol,23.68333,86.98333,504271
Chail,25.43309,81.59037,503948
Nagina,29.53658,78.5197,502488
Tiloi,26.40101,81.46717,502052
Sātāra,17.67139,73.98792,502049
Nadiad,22.68051,72.90395,500775
Salon,26.08882,81.45438,499802
Mangaluru,12.91723,74.85603,499487
Muhammadabad Gohna,25.95506,83.4058,493890
Niphad,20.08534,74.12125,493251
Matigara,26.73868,88.37431,491824
Meerganj,28.56142,79.2809,491330
Belagavi,15.85212,74.50447,490045
Bongaon,23.05612,88.78129,489767
Bhilwara,25.33436,74.61415,488466
Balapur,17.35006,78.55689,488338
Sangamner,19.48986,74.24031,487939
Pharenda,27.18378,83.29302,487236
