city,lat,lng,population
Mayūrbhanj,21.75,86.5,2519738
Firozabad,27.20072,78.42867,2498156
Mirzāpur,25.11462,82.60895,2496970
Amritsar,31.67,74.84,2490656
Lucknow,26.83928,80.92313,2472011
Ayodhya,26.75,82,2470996
Tiruvannamalai,12.51,79.09,2464875
Basti,26.82816,82.77924,2464464
Jabalpur,23.16,79.95,2463289
Latur,18.4,76.8,2454196
Ballari,15.15,76.55,2452595
Girīdīh,24.25,85.91667,2445474
Sabarkantha,23.62974,73.00197,2428589
Haveli,18.52805,74.07402,2426979
Barrackpur II,22.69248,88.4063,2409232
Bhīlwāra,25.5,74.75,2408523
Thanjavur,10.64,79.22,2405890
Nagpur,21.14631,79.08491,2405665
Ambedkar Nagar,26.40544,82.69762,2397888
Pānch Mahāls,22.75,73.6,2390776
Sāgar,23.75,78.75,2378458
Bhopāl,23.5,77.41667,2371061
Rewa,24.75,81.5,2365106
Bīkāner,28.16667,73.16667,2363937
Surguja,22.89624,83.09631,2359886
Rāmpur,29,79,2335819
Bāleshwar,21.5,86.75,2320529
Kheda,22.75,72.83333,2299885
Gurdaspur,31.92,75.27,2298323
Purba Singhbhum,22.59238,86.48341,2293919
Erode,11.34,77.55,2251744
Khordha,20.2,85.6,2251673
Supaul,26.25,86.8,2229076
Satna,24.5,81,2228935
Nawāda,24.75,85.5,2219146
NTR,16.82047,80.24721,2218591
Mau,26.0294,83.50756,2205968
Tirupati,13.78049,79.83503,2196984
Jalandhar,31.41667,75.61667,2193590
Agra,27.16934,78.04274,2186655
Dhār,22.5,75.25,2185793
Bijāpur,16.66667,75.91667,2177331
Jāmnagar,22.25,70,2160119
Dindigul,10.4,77.8,2159775
Balrampur,27.43449,82.40281,2148665
Jhunjhunūn,28,75.5,2137045
Alappuzha,9.41667,76.5,2127789
Dohad,22.9,74,2127086
Sundargarh,22.25,84.5,2093437
Anand,22.4,72.75,2092745
Kakinada,17.11916,82.19004,2092374
Kutch,23.58333,70,2092371
Chhindwāra,22.11667,78.8,2090922
Dakshina Kannada,12.84,75.29,2089649
Eluru,17.01306,81.0842,2071647
Huzur,23.25871,77.39823,2067585
Bokaro,23.68562,85.99026,2062330
Dhule,21.06852,74.58837,2050862
Palnadu,16.32329,79.69607,2041723
